1835,252
287,167
167,406
167,612
772,406
1322,772
664,1038
1038,1932
253,1038
1038,912
10,729
729,660
10,1402
1402,729
1919,10
221,1919
1919,1402
1919,577
577,1402
406,1919
1919,1774
772,1919
1919,1333
1919,149
381,808
808,150
150,381
1931,31
31,1659
1659,1931
810,66
1247,810
810,1838
66,1049
1049,231
1954,1049
180,1616
254,180
180,1855
1855,1616
1734,1512
231,1734
627,1734
231,627
1734,476
627,80
80,1734
1734,254
1734,180
1255,179
179,1908
1908,1255
1124,1171
1171,918
918,1124
235,835
835,1429
1429,235
353,835
835,463
353,1429
1160,353
1993,1160
556,306
306,1937
1323,306
306,365
365,1323
894,609
609,332
332,894
1677,556
431,1677
609,1677
431,609
1383,1450
1450,141
1555,828
828,1651
1651,1555
828,907
1722,828
1555,1722
1283,199
199,1804
1081,1555
1555,1992
1992,1081
1081,1722
147,1283
907,147
828,147
1722,147
1076,89
1089,1076
1076,1174
1174,89
1942,948
948,1174
1174,1942
948,89
609,948
948,332
431,948
908,525
525,120
120,908
186,1058
51,186
592,186
51,592
708,1692
1692,1221
1692,1676
1948,1692
140,1777
1896,140
140,1367
1109,140
1661,1830
1581,1661
1661,1923
1923,1830
1367,722
722,1988
722,708
722,805
722,1102
64,1102
1102,1923
1923,64
1661,64
546,1848
1848,134
1848,202
1831,546
826,1831
293,1831
1706,1532
1532,1912
1912,1706
9,817
833,9
417,9
9,1501
9,499
499,1501
1626,9
1626,499
194,417
620,194
998,194
1801,847
170,1801
446,1801
1790,1801
1501,1901
1901,1250
847,1901
1901,620
1901,1790
1801,1901
1518,1860
1024,1518
1501,1518
499,1518
1518,1706
1912,1518
182,1027
1027,1544
1544,182
1059,1285
1285,641
641,1059
1221,1843
1843,946
1843,1610
1610,526
526,1287
